p_id,nationality,product_id,product_type,product_name,serviced_by,inclusions,service_description,visa_entry,visa_validity,visa_duration,min_no_of_hrs,max_no_of_hrs,airport,airport_code,arrival_terminal,departure_terminal,travel_type,city,country,supplier,rate_application,currency,adult_cost_price,adult_cost_tax,child_cost_price,child_cost_tax,group_size_min,group_size_max,group_price,group_price_tax,exceptions,booking_cut_off,time_zone,service_charge_adult,total,service_tax_adult,service_charge_child,service_tax_child,service_tax_applicable_on,sales_cut_off,cancellation_time,cancellation_charges,discount,discount_amount,output_price,sac,cgst,sgst,igst,vat,booking_type,is_active
1,All,2,Arrival,VIP Fast Track,,"•	Our concierge waits the guest at the aerobridge
•	Escort through border control and security checks with a priority access
•	Baggage porterage (4 bags)
•	Escort to the means of transport ",,,,,,,Charles De Gaulle,CDG,,,All,Paris,France,La Cociegerie,Group,Euro,120,,,,1,3,,,,24,+2 hrs,36,156,,,,,,,,,,,,,,,,Confirm,Y
2,All,2,Arrival,VIP Fast Track,,"•	Our concierge waits the guest at the aerobridge
•	Escort through border control and security checks with a priority access
•	Baggage porterage (4 bags)
•	Escort to the means of transport ",,,,,,,Charles De Gaulle,CDG,,,All,Paris,France,La Cociegerie,Group,Euro,,,,,4,4,155,,,24,+2 hrs,0,0,,,,,,,,,,,,,,,,Confirm,Y
3,All,2,Arrival,VIP Fast Track,,"•	Our concierge waits the guest at the aerobridge
•	Escort through border control and security checks with a priority access
•	Baggage porterage (4 bags)
•	Escort to the means of transport ",,,,,,,Charles De Gaulle,CDG,,,All,Paris,France,La Cociegerie,Group,Euro,,,,,5,5,190,,,24,+2 hrs,0,0,,,,,,,,,,,,,,,,Confirm,Y
4,All,2,Arrival,VIP Fast Track,,"•	Our concierge waits the guest at the aerobridge
•	Escort through border control and security checks with a priority access
•	Baggage porterage (4 bags)
•	Escort to the means of transport ",,,,,,,Charles De Gaulle,CDG,,,All,Paris,France,La Cociegerie,Group,Euro,,,,,6,6,225,,,24,+2 hrs,0,0,,,,,,,,,,,,,,,,Confirm,Y
