p_id,Sr_No,nationality,product_id,product_category,product_type,product_name,service_id,serviced_by,inclusions,service_description,visa_entry,visa_validity,visa_duration,min_no_of_hrs,max_no_of_hrs,airport,airport_code,arrival_terminal,departure_terminal,travel_type,city,country,country_code,supplier,supplier_status,rate_application,currency,adult_cost_price,adult_cost_tax,child_cost_price,child_cost_tax,child_defination_max,child_defination_min,child_free,group_size_min,group_size_max,group_price,group_price_tax,exceptions,Sales Cut Off,booking_cut_off,time_zone,service_charge_adult,total,service_tax_adult,service_charge_child,service_tax_child,service_tax_applicable_on,sales_cut_off,sales_cut_off_time_zone,cancellation_time,cancellation_charges,discount,discount_amount,output_price,important_notes,booking_type,gst_criteria,gst_base_amount,gst_rate,gst_rate_currency,total_sp,total_sp_with_gst,total_sp_usd,total_sp_usd_with_gst,total_sp_inr,total_sp_inr_with_gst,c_total_sp,c_total_sp_with_gst,c_total_sp_usd,c_total_sp_usd_with_gst,c_total_sp_inr,c_total_sp_inr_with_gst,buffet_meals,alcoholic_beverages,non_alcoholic_beverages,wifi,shower,smoking_zone,prayer_room,sleeping_pods,kids_play_area,fast_track_immigration,fast_track_security,porter,personal_assistance,lounge,child_free_2yrs,child_free_3yrs,child_free_5yrs,child_free_6yrs,is_active
244,1,All,1,M&A,Arrival,VIP Fast Track,0,NA,"<ul><li>Our concierge meets you at the aerobridge</li>
<li>Escorts through border control and security checks with a priority access</li>
<li>Baggage porterage (Maximum 4 bags)</li>
<li>Escorts you up to your transfer</li></ul>","<p>Handcrafted for luxurious domestic and international travel, Meet& Assist VIP Fast Track Arrival is ideal for a group of up to 3 travellers. Available at all terminals of Charles De Gaulle Airport in Paris, it includes various useful services such as porter and baggage and helps you get through immigration quickly.</p>",NA,null,NA,NA,NA,Charles De Gaulle,CDG,All,,All,Paris,France,FRA,La Cociegerie,Active,Group,EURO,120,,,,,,5,1,3,0,0,NA,24,2,36,0,,,,,26,2,,0,0,0,0,"<ul><li>Booking cancellation requested 36 hours prior to commencement of service - No Cancellation Charges</li>
<li>Booking cancellation requested within 36 hours to commencement of service - Booking shall be Non-Refundable</li></ul>",Confirm,Location of M&A,Total Selling Price ,0%,EURO,120,120,149,149,10862,10862, -   , -   , -   , -   , -   , -   ,N,N,N,N,N,N,N,N,N,Y,Y,Y,Y,N,N,N,Y,N,Y,
245,2,All,2,M&A,Arrival,VIP Fast Track,0,NA,"<ul><li>Our concierge meets you at the aerobridge</li>
<li>Escorts through border control and security checks with a priority access</li>
<li>Baggage porterage (Maximum 4 bags)</li>
<li>Escorts you up to your transfer</li></ul>","<p>Travel in style and with ease as our concierge welcomes you at the airport and helps you get right through the immigration services. Crafted for a group of four people travelling either internationally or domestically, the Meet & Assist VIP Fast Track Arrival, is available at all terminals of Charles De Gaulle Airport in Paris.</p>",NA,null,NA,NA,NA,Charles De Gaulle,CDG,All,,All,Paris,France,FRA,La Cociegerie,Active,Group,EURO,155,,,,,,5,4,4,0,0,NA,24,2,46.5,0,,,,,26,2,,0,0,0,0,"<ul><li>Booking cancellation requested 36 hours prior to commencement of service - No Cancellation Charges</li>
<li>Booking cancellation requested within 36 hours to commencement of service - Booking shall be Non-Refundable</li></ul>",Confirm,Location of M&A,Total Selling Price ,0%,EURO,155,155,192,192,14031,14031, -   , -   , -   , -   , -   , -   ,N,N,N,N,N,N,N,N,N,Y,Y,Y,Y,N,N,N,Y,N,Y,
246,3,All,2,M&A,Arrival,VIP Fast Track,0,NA,"<ul><li>Our concierge meets you at the aerobridge</li>
<li>Escorts through border control and security checks with a priority access</li>
<li>Baggage porterage (Maximum 4 bags)</li>
<li>Escorts you up to your transfer</li></ul>","<p>Designed to keep your need for luxury in mind, the Meet & Assist VIP Fast Track Arrival available for domestic and international travellers at all terminals in Charles De Gaulle Airport in Paris, is suitable for a group of five travellers. It helps you navigate the airport swiftly and provides you access to porterage services.</p>",NA,null,NA,NA,NA,Charles De Gaulle,CDG,All,,All,Paris,France,FRA,La Cociegerie,Active,Group,EURO,190,,,,,,5,5,5,0,0,NA,24,2,57,0,,,,,26,2,,0,0,0,0,"<ul><li>Booking cancellation requested 36 hours prior to commencement of service - No Cancellation Charges</li>
<li>Booking cancellation requested within 36 hours to commencement of service - Booking shall be Non-Refundable</li></ul>",Confirm,Location of M&A,Total Selling Price ,0%,EURO,190,190,236,236,17199,17199, -   , -   , -   , -   , -   , -   ,N,N,N,N,N,N,N,N,N,Y,Y,Y,Y,N,N,N,Y,N,Y,
247,4,All,2,M&A,Arrival,VIP Fast Track,0,NA,"<ul><li>Our concierge meets you at the aerobridge</li>
<li>Escorts through border control and security checks with a priority access</li>
<li>Baggage porterage (Maximum 4 bags)</li>
<li>Escorts you up to your transfer</li></ul>","<p>Crafted for a group of six domestic or international travellers, M&A Arrival VIP Fast Track Service available at all terminals in Charles De Gaulle Airport, helps you with immigration and baggage porterage services.</p>",NA,null,NA,NA,NA,Charles De Gaulle,CDG,All,,All,Paris,France,FRA,La Cociegerie,Active,Group,EURO,225,,,,,,5,6,6,0,0,NA,24,2,67.5,0,,,,,26,2,,0,0,0,0,"<ul><li>Booking cancellation requested 36 hours prior to commencement of service - No Cancellation Charges</li>
<li>Booking cancellation requested within 36 hours to commencement of service - Booking shall be Non-Refundable</li></ul>",Confirm,Location of M&A,Total Selling Price ,0%,EURO,225,225,279,279,20367,20367, -   , -   , -   , -   , -   , -   ,N,N,N,N,N,N,N,N,N,Y,Y,Y,Y,N,N,N,Y,N,Y,
248,5,All,2,M&A,Departure,VIP Fast Track,0,NA,"<ul><li>Our concierge will meet the guest at the kerbside of the terminal your departing flight 
<li>Tax refund assistance and other airport assistance (if needed) </li>
<li>Baggage porterage (max 4 bags) to check-in and obtain your boarding pass</li>
<li>Escort through border control and security checks with a priority access</li>
<li>Escort to the VIP airline lounge (if applicable) or directly to gate of your flight with priority boarding</li></ul>","<p>Beautifully curated for a group of up to 3 international or domestic travellers and available at all terminals in Charles De Gaulle Airport, M&A Departure VIP Fast Track service provides you tax refund assistance, baggage porterage and immigration help with a priority access.</p>",NA,null,NA,NA,NA,Charles De Gaulle,CDG,,All,All,Paris,France,FRA,La Cociegerie,Active,Group,EURO,120,,,,,,5,1,3,0,0,NA,24,2,36,0,,,,,26,2,,0,0,0,0,"<ul><li>Booking cancellation requested 36 hours prior to commencement of service - No Cancellation Charges</li>
<li>Booking cancellation requested within 36 hours to commencement of service - Booking shall be Non-Refundable</li></ul>",Confirm,Location of M&A,Total Selling Price ,0%,EURO,120,120,149,149,10862,10862, -   , -   , -   , -   , -   , -   ,N,N,N,N,N,N,N,N,N,Y,Y,Y,Y,N,N,N,Y,N,Y,
249,6,All,2,M&A,Departure,VIP Fast Track,0,NA,"<ul><li>Our concierge will meet the guest at the kerbside of the terminal your departing flight 
<li>Tax refund assistance and other airport assistance (if needed) </li>
<li>Baggage porterage (max 4 bags) to check-in and obtain your boarding pass</li>
<li>Escort through border control and security checks with a priority access</li>
<li>Escort to the VIP airline lounge (if applicable) or directly to gate of your flight with priority boarding</li></ul>","<p>Ideal for a group of 4 domestic or international travellers, M&A Departure VIP Fast Track service available at all terminals in Charles De Gaulle Airport, helps you with tax refund assistance and immigration assistance with a priority access.</p>",NA,null,NA,NA,NA,Charles De Gaulle,CDG,,All,All,Paris,France,FRA,La Cociegerie,Active,Group,EURO,155,,,,,,5,4,4,0,0,NA,24,2,46.5,0,,,,,26,2,,0,0,0,0,"<ul><li>Booking cancellation requested 36 hours prior to commencement of service - No Cancellation Charges</li>
<li>Booking cancellation requested within 36 hours to commencement of service - Booking shall be Non-Refundable</li></ul>",Confirm,Location of M&A,Total Selling Price ,0%,EURO,155,155,192,192,14031,14031, -   , -   , -   , -   , -   , -   ,N,N,N,N,N,N,N,N,N,Y,Y,Y,Y,N,N,N,Y,N,Y,
250,7,All,2,M&A,Departure,VIP Fast Track,0,NA,"<ul><li>Our concierge will meet the guest at the kerbside of the terminal your departing flight 
<li>Tax refund assistance and other airport assistance (if needed) </li>
<li>Baggage porterage (max 4 bags) to check-in and obtain your boarding pass</li>
<li>Escort through border control and security checks with a priority access</li>
<li>Escort to the VIP airline lounge (if applicable) or directly to gate of your flight with priority boarding</li></ul>","<p>Perfectly curated for a group of five domestic or international travellers and available at all terminals in Charles De Gaulle Airport, M&A Departure VIP Fast Track helps you get through immigration and security checks quickly coupled with priority access. The other benefits you can avail of as a part of this customised package are tax refund assistance and other airport assistance.</p>",NA,null,NA,NA,NA,Charles De Gaulle,CDG,,All,All,Paris,France,FRA,La Cociegerie,Active,Group,EURO,190,,,,,,5,5,5,0,0,NA,24,2,57,0,,,,,26,2,,0,0,0,0,"<ul><li>Booking cancellation requested 36 hours prior to commencement of service - No Cancellation Charges</li>
<li>Booking cancellation requested within 36 hours to commencement of service - Booking shall be Non-Refundable</li></ul>",Confirm,Location of M&A,Total Selling Price ,0%,EURO,190,190,236,236,17199,17199, -   , -   , -   , -   , -   , -   ,N,N,N,N,N,N,N,N,N,Y,Y,Y,Y,N,N,N,Y,N,Y,
251,8,All,2,M&A,Departure,VIP Fast Track,0,NA,"<ul><li>Our concierge will meet the guest at the kerbside of the terminal your departing flight 
<li>Tax refund assistance and other airport assistance (if needed) </li>
<li>Baggage porterage (max 4 bags) to check-in and obtain your boarding pass</li>
<li>Escort through border control and security checks with a priority access</li>
<li>Escort to the VIP airline lounge (if applicable) or directly to gate of your flight with priority boarding</li></ul>","<p>Perfectly suited for a group of six travellers travelling domestically or internationally, M&A Departure VIP Fast Track Service available at all terminals of Charles De Gaulle Airport caters to your various needs such as tax refund assistance, baggage porterage and immigration assistance.</p>",NA,null,NA,NA,NA,Charles De Gaulle,CDG,,All,All,Paris,France,FRA,La Cociegerie,Active,Group,EURO,225,,,,,,5,6,6,0,0,NA,24,2,67.5,0,,,,,26,2,,0,0,0,0,"<ul><li>Booking cancellation requested 36 hours prior to commencement of service - No Cancellation Charges</li>
<li>Booking cancellation requested within 36 hours to commencement of service - Booking shall be Non-Refundable</li></ul>",Confirm,Location of M&A,Total Selling Price ,0%,EURO,225,225,279,279,20367,20367, -   , -   , -   , -   , -   , -   ,N,N,N,N,N,N,N,N,N,Y,Y,Y,Y,N,N,N,Y,N,Y,
252,9,All,2,M&A,Transit,VIP Fast Track,0,NA,"<ul><li>Our concierge waits the guest at the aerobridge</li>
<li>Escort through border control and security checks with a priority access</li>
<li>Baggage Tracking – Check the luggage transfer on board departure flight</li>
<li>Escort to the VIP airline lounge (if applicable) or directly to gate of your connecting flight with priority boarding</li></ul>","<p>Ideal for a group of up to 3 passengers travelling internationally or domestically, M&A- Transit- VIP Fast Track available at all terminals of Charles De Gaulle Airport is your one-stop destination for baggage tracking and immigration assistance needs.</p>",NA,null,NA,NA,NA,Charles De Gaulle,CDG,All,All,All,Paris,France,FRA,La Cociegerie,Active,Group,EURO,200,,,,,,5,1,3,0,0,NA,24,2,60,0,,,,,26,2,,0,0,0,0,"<ul><li>Booking cancellation requested 36 hours prior to commencement of service - No Cancellation Charges</li>
<li>Booking cancellation requested within 36 hours to commencement of service - Booking shall be Non-Refundable</li></ul>",Confirm,Location of M&A,Total Selling Price ,0%,EURO,200,200,248,248,18104,18104, -   , -   , -   , -   , -   , -   ,N,N,N,N,N,N,N,N,N,Y,Y,N,Y,N,N,N,Y,N,Y,
253,10,All,2,M&A,Transit,VIP Fast Track,0,NA,"<ul><li>Our concierge waits the guest at the aerobridge</li>
<li>Escort through border control and security checks with a priority access</li>
<li>Baggage Tracking – Check the luggage transfer on board departure flight</li>
<li>Escort to the VIP airline lounge (if applicable) or directly to gate of your connecting flight with priority boarding</li></ul>","<p>Perfectly crafted for a group of 4 international or domestic travellers, M&A- Transit- VIP Fast Track available at all terminals of Charles De Gaulle Airport will help you get through the immigration process swiftly with a priority access. What’s more- you can also track your baggage.</p>",NA,null,NA,NA,NA,Charles De Gaulle,CDG,All,All,All,Paris,France,FRA,La Cociegerie,Active,Group,EURO,235,,,,,,5,4,4,0,0,NA,24,2,70.5,0,,,,,26,2,,0,0,0,0,"<ul><li>Booking cancellation requested 36 hours prior to commencement of service - No Cancellation Charges</li>
<li>Booking cancellation requested within 36 hours to commencement of service - Booking shall be Non-Refundable</li></ul>",Confirm,Location of M&A,Total Selling Price ,0%,EURO,235,235,291,291,21272,21272, -   , -   , -   , -   , -   , -   ,N,N,N,N,N,N,N,N,N,Y,Y,N,Y,N,N,N,Y,N,Y,
